alpha,window,mode,n,x,expected_rate,observed_rate,lr_pof,p_value
0.975,125,oos_shift1,1130,47,0.025000000000000022,0.0415929203539823,10.672009889140043,0.0010876886787964946
0.975,125,same_day,1131,46,0.025000000000000022,0.040671971706454466,9.609477771518527,0.0019357568367238676
0.975,250,oos_shift1,1005,34,0.025000000000000022,0.03383084577114428,2.9004338896065747,0.08855571292488551
0.975,250,same_day,1006,33,0.025000000000000022,0.032803180914512925,2.2918717724161297,0.13005300017254118
0.975,500,oos_shift1,755,19,0.025000000000000022,0.025165562913907286,0.0008472204075928857,0.9767792124385676
0.975,500,same_day,756,19,0.025000000000000022,0.02513227513227513,0.0005417371258999992,0.981430716345457
0.99,125,oos_shift1,1130,25,0.010000000000000009,0.022123893805309734,12.472119156215342,0.00041307120884148674
0.99,125,same_day,1131,24,0.010000000000000009,0.021220159151193633,10.877962406039444,0.000973152487460327
0.99,250,oos_shift1,1005,19,0.010000000000000009,0.01890547263681592,6.38167266408999,0.01153047141963337
0.99,250,same_day,1006,19,0.010000000000000009,0.018886679920477135,6.363619565091511,0.011648368066473513
0.99,500,oos_shift1,755,8,0.010000000000000009,0.010596026490066225,0.026574630219798223,0.8705048373042994
0.99,500,same_day,756,6,0.010000000000000009,0.007936507936507936,0.3499086549262671,0.5541648428508117
